0000001230;scans;0000000054;DataLength
"header";0000000020;"lines"
"Date";01.01.2008;"Time";00:31:01
"ID";"HAL IV RC RGA 201 #9279";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1.00;50.00;0.20;100.000%;100.000%;1.000000;1.000000;
"Environment";
"Global";"RGA"
"F1";0;"( 1 = on, 0 = off )"
"F2";1;"( 1 = on, 0 = off )"
"cage";3.0;"V"
"delta-m";20;"%"
"electron-energy";70.0;"V"
"emission";1000;"uA"
"focus";-90;"V"
"mass";5.50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";800;"V"
"resolution";10;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM torr"
0000000001;00:00:01;0000001020;   19.60;-1.10500e-10
0000000001;00:00:01;0000001020;   19.80; 0.00000e+00
0000000001;00:00:01;0000001020;   20.00;-1.10500e-10
0000000001;00:00:01;0000001020;   20.20; 0.00000e+00
0000000001;00:00:01;0000001020;   20.40; 0.00000e+00
0000000001;00:00:01;0000001020;   20.60; 0.00000e+00
0000000001;00:00:01;0000001020;   20.80; 0.00000e+00
0000000001;00:00:01;0000001020;   21.00; 0.00000e+00
0000000001;00:00:01;0000001020;   21.20; 0.00000e+00
0000000001;00:00:01;0000001020;   21.40; 0.00000e+00
0000000001;00:00:01;0000001020;   21.60; 0.00000e+00
0000000001;00:00:01;0000001020;   21.80;-1.10500e-10
0000000001;00:00:01;0000001020;   22.00;-1.10500e-10
0000000001;00:00:01;0000001020;   22.20; 0.00000e+00
0000000001;00:00:01;0000001020;   22.40; 0.00000e+00
0000000001;00:00:01;0000001020;   22.60; 0.00000e+00
0000000001;00:00:01;0000001020;   22.80;-1.10500e-10
0000000001;00:00:01;0000001020;   23.00; 0.00000e+00
0000000001;00:00:01;0000001020;   23.20; 0.00000e+00
0000000001;00:00:01;0000001020;   23.40; 0.00000e+00
0000000001;00:00:01;0000001020;   23.60; 0.00000e+00
0000000001;00:00:01;0000001020;   23.80; 0.00000e+00
0000000001;00:00:01;0000001020;   24.00; 0.00000e+00
0000000001;00:00:01;0000001020;   24.20; 0.00000e+00
0000000001;00:00:01;0000001020;   24.40; 0.00000e+00
0000000001;00:00:01;0000001020;   24.60; 0.00000e+00
0000000001;00:00:01;0000001020;   24.80; 0.00000e+00
0000000001;00:00:01;0000001020;   25.00; 0.00000e+00
0000000001;00:00:01;0000001020;   25.20; 0.00000e+00
0000000001;00:00:01;0000001020;   25.40; 0.00000e+00
0000000001;00:00:01;0000001020;   25.60; 0.00000e+00
0000000001;00:00:01;0000001020;   25.80; 0.00000e+00
0000000001;00:00:01;0000001020;   26.00; 0.00000e+00
0000000001;00:00:01;0000001020;   26.20; 0.00000e+00
0000000001;00:00:01;0000001020;   26.40; 0.00000e+00
0000000001;00:00:01;0000001020;   26.60;-1.10500e-10
0000000001;00:00:01;0000001020;   26.80; 0.00000e+00
0000000001;00:00:01;0000001020;   27.00;-1.10500e-10
0000000001;00:00:01;0000001020;   27.20;-1.10500e-10
0000000001;00:00:01;0000001020;   27.40; 0.00000e+00
0000000001;00:00:01;0000001020;   27.60; 0.00000e+00
0000000001;00:00:01;0000001020;   27.80;-1.10500e-10
0000000001;00:00:01;0000001020;   28.00; 0.00000e+00
0000000001;00:00:01;0000001020;   28.20; 1.10500e-10
0000000001;00:00:01;0000001020;   28.40; 0.00000e+00
0000000001;00:00:01;0000001020;   28.60;-1.10500e-10
0000000001;00:00:01;0000001020;   28.80;-1.10500e-10
0000000001;00:00:01;0000001020;   29.00; 0.00000e+00
0000000001;00:00:01;0000001020;   29.20; 0.00000e+00
0000000001;00:00:01;0000001020;   29.40;-1.10500e-10
0000000001;00:00:01;0000001020;   29.60; 0.00000e+00
0000000001;00:00:01;0000001020;   29.80; 0.00000e+00
0000000001;00:00:01;0000001020;   30.00; 0.00000e+00
0000000001;00:00:01;0000001020;   30.20; 0.00000e+00
0000000001;00:00:01;0000001020;   30.40; 0.00000e+00
0000000001;00:00:01;0000001020;   30.60; 0.00000e+00
0000000001;00:00:01;0000001020;   30.80; 0.00000e+00
0000000001;00:00:01;0000001020;   31.00; 0.00000e+00
0000000001;00:00:01;0000001020;   31.20; 0.00000e+00
0000000001;00:00:01;0000001020;   31.40; 0.00000e+00
0000000001;00:00:01;0000001020;   31.60; 0.00000e+00
0000000001;00:00:01;0000001020;   31.80;-1.10500e-10
0000000001;00:00:01;0000001020;   32.00; 0.00000e+00
0000000001;00:00:01;0000001020;   32.20; 0.00000e+00
0000000001;00:00:01;0000001020;   32.40; 0.00000e+00
0000000001;00:00:01;0000001020;   32.60;-1.10500e-10
0000000001;00:00:01;0000001020;   32.80; 0.00000e+00
0000000001;00:00:01;0000001020;   33.00; 0.00000e+00
0000000001;00:00:01;0000001020;   33.20; 0.00000e+00
0000000001;00:00:01;0000001020;   33.40;-1.10500e-10
0000000001;00:00:01;0000001020;   33.60; 0.00000e+00
0000000001;00:00:01;0000001020;   33.80; 0.00000e+00
0000000001;00:00:01;0000001020;   34.00;-1.10500e-10
0000000001;00:00:01;0000001020;   34.20; 0.00000e+00
0000000001;00:00:01;0000001020;   34.40; 0.00000e+00
0000000001;00:00:01;0000001020;   34.60; 0.00000e+00
0000000001;00:00:01;0000001020;   34.80; 0.00000e+00
0000000001;00:00:01;0000001020;   35.00;-1.10500e-10
