Isotop,fraction [],err
$Xe^128$,0.021202599769212144,0.003933866562630464
$Xe^129$,0.2646688373816851,0.012897065032047654
$Xe^130$,0.04433614314199757,0.008074253114912468
$Xe^131$,0.23330541824464746,0.018428415573448983
$Xe^132$,0.26268984839979487,0.015221505228800194
$Xe^134$,0.09701382862439681,0.004501921851190045
$Xe^136$,0.07678332443826606,0.004380959253728486
